ensg	enst	name
ENSMUSG00000038192		Cer1
ENSMUSG00000050069		Grem2
ENSMUSG00000074934		Grem1
ENSMUSG00000005124		Wisp1
ENSMUSG00000019997		Ctgf
ENSMUSG00000027656		Wisp2
ENSMUSG00000028195		Cyr61
ENSMUSG00000037362		Nov
ENSMUSG00000062074		Wisp3
ENSMUSG00000004366		Sst
ENSMUSG00000032492		Pth1r
ENSMUSG00000005892		Trh
ENSMUSG00000019890		Nts
ENSMUSG00000019772		Vip
ENSMUSG00000017165		Gast
ENSMUSG00000025400		Tac2
ENSMUSG00000020872		Tac4
ENSMUSG00000025723		Nmb
ENSMUSG00000024907		Gal
ENSMUSG00000025946		Pth2r
ENSMUSG00000032532		Cck
ENSMUSG00000030669		Calca
ENSMUSG00000030666		Calcb
ENSMUSG00000027120		Fshb
ENSMUSG00000039097		Rln1
ENSMUSG00000037010		Apln
ENSMUSG00000029236		Nmu
ENSMUSG00000036437		Npy1r
ENSMUSG00000028963		Uts2
ENSMUSG00000028778		Hcrtr1
ENSMUSG00000038071		Npy6r
ENSMUSG00000028298		Cga
ENSMUSG00000028004		Npy2r
ENSMUSG00000038300		Pth2
ENSMUSG00000039321		Uts2r
ENSMUSG00000029819		Npy
ENSMUSG00000064177		Ghrl
ENSMUSG00000048337		Npy4r
ENSMUSG00000056423		Uts2b
ENSMUSG00000045471		Hcrt
ENSMUSG00000045573		Penk
ENSMUSG00000044014		Npy5r
ENSMUSG00000037727		Avp
ENSMUSG00000035383		Pmch
ENSMUSG00000045232		Rln3
ENSMUSG00000032360		Hcrtr2
ENSMUSG00000048776		Pthlh
ENSMUSG00000100916		Lhb
ENSMUSG00000061762		Tac1
ENSMUSG00000059077		Pth
ENSMUSG00000067604		Nms
